song_id,File,genres,moods,tags,bpm,tune,mode,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,chroma_13,chroma_14,chroma_15,chroma_16,chroma_17,chroma_18,chroma_19,chroma_20,chroma_21,chroma_22,chroma_23,chroma_24,chroma_25,chroma_26,chroma_27,chroma_28,chroma_29,chroma_30,chroma_31,chroma_32,chroma_33,chroma_34,chroma_35,chroma_36,chroma_37,chroma_38,chroma_39,chroma_40,chroma_41,chroma_42,chroma_43,chroma_44,chroma_45,chroma_46,chroma_47,chroma_48,chroma_49,melspectrogram,spectral_centroid
1, Grimm.mp3,Alternative Rock,Bouncy,"alternative rock type beat, rap rock",172,Eb,major,-117.73725,70.226715,-24.836502,44.33651,-1.6186199,29.696266,-3.0370452,25.381052,-7.203664,22.91673,3.4915075,18.496895,-10.452546,14.904427,-6.1681666,8.764712,-12.223874,6.559574,-5.856354,3.1206148,-7.194042,4.435444,-3.8911185,1.183135,-8.789405,2.973344,-2.218777,3.8126762,-2.2615817,-4.7479453,-7.5699134,-2.1750784,-3.6896265,-1.6702158,1.8660789,-2.9640145,-2.2584863,-2.5893152,1.906876,-2.5034156,2.175799,-1.5962873,1.44886,-5.2079806,0.5739853,-4.8687468,0.19379246,-4.9375386,1.345669,-1.5941786,0.5392347,0.52446955,0.507201,0.5144953,0.53144574,0.5237242,0.493594,0.48707482,0.49984398,0.5157707,0.52125114,0.5375395,0.5767192,0.63972425,0.607712,0.55122375,0.51638466,0.49489272,0.4778772,0.4616048,0.45365435,0.44479808,0.43308067,0.41821772,0.41056943,0.41306177,0.41572514,0.41370255,0.4274451,0.4541868,0.47225645,0.47684154,0.4991164,0.5371282,0.5651552,0.5554977,0.535878,0.5242143,0.5121508,0.5191095,0.5435056,0.5828699,0.6306931,0.65327567,0.61209655,0.58918476,0.59010005,0.5826881,0.56913674,0.5577568,2.816725,5465.231987736773
2, proshedshaya nedelya .mp3,Alternative Rock,Dark,"альтернативный рок, pop punk type beat",97,A,minor,-142.32835,158.68402,-17.698765,43.393982,2.4096186,27.475725,-1.6179097,7.161493,6.2793174,3.6054509,-2.3741415,2.0340207,2.4537933,1.4635482,3.2215834,-1.0801334,2.3997614,-1.3995874,-1.5196497,-7.4650445,-1.6991109,-4.1504517,-4.2706757,-3.3547695,-2.3340929,-0.8962674,-2.4683242,-2.1859844,-0.12974912,-0.5961518,-1.7062967,-0.00870321,-0.32296884,-1.166296,-1.4829154,-0.10581735,-2.4769893,-0.06762046,-1.4405739,-0.38245526,-1.3198572,-2.3789709,-0.6591088,-0.89032114,0.1472342,-0.20429778,0.017595388,-0.7024868,0.23043908,-0.23670043,0.5546822,0.5425457,0.51655763,0.49612266,0.4919142,0.48819312,0.47394407,0.46620265,0.4620108,0.4546014,0.45087594,0.45730448,0.4687697,0.47732115,0.501939,0.5381521,0.5770842,0.6132272,0.63782,0.6494797,0.6505914,0.6413338,0.61645323,0.5806499,0.54522485,0.5179646,0.49893016,0.48824918,0.4925069,0.50556475,0.5096427,0.5190545,0.54632336,0.5847451,0.62175405,0.6465023,0.6639064,0.6694066,0.65842783,0.63489324,0.6125947,0.60129464,0.5925718,0.5869599,0.5807822,0.5782648,0.5810551,0.5731395,0.56178904,0.55955625,11.328496,2061.723872501422
3, SNOWFALL  Alt Rock x Emo Trap Type Beat.mp3,"Alternative Rock, Emo Hip-Hop","Depressed, Disappointed","sad guitar type beat, emo trap, atmosphere type beat, sad rock, lil peep type beat",130,Bb,major,-205.6564,180.90434,10.079128,16.159288,10.617506,31.153917,9.814246,12.217297,6.6203904,4.1695786,-2.0314424,1.1315055,-2.749313,-1.16208,1.7223847,0.21576646,0.08543545,1.1686202,2.4107165,-0.4448403,-1.9482273,-0.643521,3.9579625,5.085422,5.0442758,2.2129796,1.7112998,3.0630066,2.4575815,0.4603973,-0.070658445,-0.17453572,-1.0812687,1.1828258,4.2519584,6.388684,7.429554,5.8226132,0.2344634,-4.504933,-3.2974167,0.27387622,0.24334991,-1.3055438,-0.7540079,-0.4722526,0.09000632,0.8675653,0.968606,-1.2111661,0.63175994,0.64886224,0.64099663,0.6355408,0.64405465,0.6469763,0.65148276,0.6702031,0.71144634,0.73725784,0.74143654,0.7257092,0.71140164,0.6978052,0.67952716,0.66462404,0.65556496,0.64924586,0.64188296,0.6429712,0.6547632,0.66164356,0.64992785,0.61569726,0.57845145,0.56211895,0.5509598,0.5382864,0.53857887,0.5469272,0.54426765,0.5287608,0.52166176,0.52731735,0.530844,0.5383706,0.5530224,0.57251126,0.6059381,0.6324256,0.65586823,0.6870176,0.725428,0.7492842,0.7266189,0.6767564,0.64342993,0.6246146,0.6153645,0.618735,20.210844,1321.8667085897996
4,"(FREE)  CUPSIZE TYPE BEAT  POP-PUNK, ALT-ROCK, GRUNGE BEAT.mp3","Alternative Rock, Pop Rock, Rock","Crazy, Depressed, Scared, Exciting, Dirty","17seventeen x cupsize, cupsize, type beat cupsize, grunge, alternative rock",115,F,minor,-134.91307,105.254234,-19.461477,32.884373,-1.0089152,16.019257,1.45355,13.671628,5.3698945,10.160346,4.2503524,7.474965,1.2145798,7.854369,-1.0297114,5.0685053,-1.6152027,4.041975,-0.068047166,3.9695609,-2.0154126,4.279396,-1.1419184,2.0103307,-3.4534912,1.2269278,-2.9181383,0.1445823,-2.4166958,1.2744665,-1.527105,2.1009455,-0.31508029,1.6486263,-1.8112159,-1.7568439,-3.7507565,1.7356244,0.81205064,2.4845512,-0.44816536,0.6051102,-1.2760295,-1.2643745,-1.0231944,0.7336656,0.28548127,0.62043685,-0.09778801,-0.21357752,0.72647864,0.7083816,0.6662449,0.6508567,0.6509689,0.6401495,0.62583935,0.6194883,0.62184244,0.62740254,0.6171537,0.6199274,0.6321359,0.6567029,0.65319973,0.64233685,0.62717104,0.62292594,0.6036693,0.60293597,0.6081861,0.5972823,0.57167435,0.54933524,0.53289056,0.5147719,0.50448495,0.5202496,0.5571353,0.58735704,0.5984616,0.58932686,0.58657724,0.61737305,0.6239616,0.5854326,0.5675748,0.5624001,0.56227916,0.5544475,0.55945194,0.5865001,0.5953529,0.58856654,0.58700675,0.58315295,0.6039086,0.6162638,0.63615704,0.6919556,22.226526,3110.7339083824468
5,17 seventeen + cupsize type beat пол литра.mp3,Alternative Rock,Happy,alternative rock,130,Bb,major,-82.156624,119.28797,-28.544056,28.420427,-2.0371292,18.904503,-13.25145,17.406378,-6.8921733,14.407003,-5.5112357,5.529692,-6.5395184,8.3426,-7.120689,1.6938016,-6.054792,1.8039021,-5.0202746,0.12865299,-2.7547505,2.2085464,-1.3468682,-2.0956006,-3.3673637,-1.7445017,-3.6787577,-2.694619,-1.9811404,-3.5962117,-1.8124086,-1.8291904,-1.1469824,-2.8419445,0.23191297,-2.6638978,-0.41001025,-2.7727463,-2.123276,-5.7864833,-1.729417,-4.13693,-1.4992437,-3.0724368,-0.054939345,-2.7585568,0.96145,-3.3557074,-1.6258496,-1.3056703,0.4942792,0.47973084,0.45939606,0.4636282,0.47281834,0.46277586,0.48920766,0.51236415,0.56684554,0.5828673,0.55661947,0.53645736,0.5256882,0.5109474,0.4846908,0.47584343,0.4764626,0.4960073,0.50029624,0.51591396,0.55212206,0.5608639,0.5320713,0.49468693,0.48270667,0.4684852,0.44215143,0.43398273,0.4616974,0.500712,0.48901188,0.44446838,0.4185362,0.40871337,0.41158614,0.4355767,0.47950596,0.5326631,0.56299037,0.52947795,0.5184044,0.5369855,0.5418014,0.55754405,0.5174852,0.46601287,0.44188792,0.4321623,0.44740862,0.48344913,10.988045,3822.787289877504
6,akira yamaoka x experimental type beat fermata.mp3,Alternative Rock,Dramatic,"archivecore type beat, silent hill type beat, grunge type beat, вышел покурить, experimental type beat",156,F#,major,-169.77295,164.74721,-14.278383,40.39026,16.155325,9.006493,10.255252,9.975249,9.1569395,5.9228473,2.9293418,1.9089231,3.8996503,4.9319906,2.2312403,0.86186993,2.8302138,2.464339,4.0878243,4.096839,2.2111478,1.0525255,2.12112,0.511674,0.5842873,2.4672365,1.1113756,-0.8558806,1.0606891,0.7468915,-0.47745076,0.8061362,1.9445769,3.2510874,3.202012,3.5023634,2.2237766,0.11472624,-2.12329,-1.7109601,-0.21199277,0.009739166,0.3698193,0.8966275,0.88718134,0.7665107,0.95701,0.38978103,-0.41367882,-1.3970919,0.7947532,0.80980784,0.81676346,0.8246057,0.83222085,0.83167475,0.8091882,0.76670563,0.7239507,0.6863086,0.6607834,0.64770335,0.64628357,0.6213079,0.59850526,0.58563054,0.58201873,0.58121836,0.5873508,0.59984,0.61320806,0.61297053,0.6045425,0.5936478,0.5887278,0.57828754,0.5518801,0.53406066,0.51992786,0.509702,0.50616765,0.50967824,0.5208695,0.53122777,0.5319651,0.5316002,0.53291094,0.54002047,0.55727494,0.57897145,0.60831064,0.65409297,0.69619864,0.7116138,0.70652175,0.68955576,0.6927482,0.7126467,0.7394936,0.77048767,47.12569,1397.7089506924024
7,alternative cupsize .mp3,Alternative Rock,Dark,"beat cupsize type beat, pop punk type beat",91,D,major,-124.576004,157.83543,-20.892149,31.553791,1.0529865,22.662397,0.2657437,22.617144,-2.4441593,13.713394,-3.471123,10.3683,-3.2930233,2.0119724,-0.95314306,-3.9079096,-3.4214742,-6.905536,-0.7509948,-10.130375,-0.4409656,-6.540774,-1.1141622,-7.437953,-0.010437505,-3.5114298,0.3959129,1.3244175,2.3264408,-1.3564266,1.2740641,-0.4099762,-3.6743755,1.3536849,-2.3676097,-0.60774547,-4.253186,1.0492659,-4.0746474,0.9549678,-1.1115673,-2.2395644,0.65713423,0.85852486,-0.43924698,0.5043549,-0.6544492,-0.70716643,-1.5689692,-1.1134702,0.33811694,0.33780652,0.3495046,0.38974345,0.427219,0.44064924,0.44968602,0.48661956,0.52396697,0.53860897,0.5236176,0.5010276,0.46780896,0.4401487,0.42443907,0.4187148,0.43420804,0.44949043,0.43909684,0.4245097,0.4218801,0.41434878,0.41337994,0.41509256,0.4267834,0.4481169,0.4661449,0.4888357,0.51661277,0.532303,0.5298941,0.5369532,0.5695747,0.6014146,0.61424845,0.6200389,0.61911595,0.61480033,0.6001628,0.550994,0.50757825,0.47892487,0.45470998,0.43097365,0.41133806,0.39716926,0.39177263,0.36245713,0.34190226,0.34209317,9.861597,2218.7225139993643
8,Alternative rock 155BPM Type Beat.mp3,Alternative Rock,Sad,"sad rock, rock pop, alternative rock type beat, тринадцать карат type beat, три дня дождя type beat",155,F,minor,-132.9527,115.8627,-67.56137,38.551994,-28.48493,12.922265,-20.268393,17.971567,-15.721977,15.962485,-11.725965,0.15737948,3.502888,0.46881855,2.2339578,-2.4970121,-0.43458518,-7.6868863,6.74383,-12.658043,0.99436575,-3.1456466,1.511991,-6.0830727,-2.2613912,-2.3510842,1.2429458,-3.4531097,-1.3623651,3.9339762,-1.9078707,4.7641273,0.37671873,2.2035754,-6.3747163,-3.1976242,-6.8506107,-0.18385708,-1.7703496,-1.7960835,-0.592766,-4.229037,-3.1255078,-2.7375371,-1.3890777,0.857247,3.0281475,1.9466739,4.5267444,0.037234813,0.5676544,0.5675096,0.4230308,0.38969487,0.38588157,0.36873704,0.3312875,0.31574744,0.3661538,0.42024457,0.32748815,0.33933166,0.41274428,0.48818284,0.3800613,0.3369829,0.3315194,0.3361105,0.31783873,0.35649264,0.414883,0.45630386,0.37420613,0.288253,0.23554638,0.21254262,0.20686084,0.23101254,0.27951267,0.32962888,0.32916412,0.29579332,0.30779758,0.32930186,0.3198233,0.2669687,0.22431915,0.21087085,0.1952094,0.18637873,0.1991335,0.23223299,0.22996806,0.21394458,0.20873928,0.21789928,0.2261716,0.24873908,0.31934932,0.45731217,2.5915706,3706.546513379479
9,alternative rock X post Punk X Type Beat - 160 Bpm G minor.mp3,"Alternative Rock, Indie Rock, Alternative","Crunk, Depressed, Dark, Disappointed","indie rock, alternative rock type beat, post punk type beat",162,G,minor,-166.2442,119.93999,-3.60315,34.80461,-22.24292,25.45738,-9.023895,12.740141,-3.9382627,10.878704,-8.07853,2.6960986,-10.19038,-2.0766368,2.0241468,0.66994876,2.482554,-4.497359,4.681018,-4.551798,3.3672934,-4.399952,-0.37839508,-9.701653,-5.608346,-3.8900216,1.3139254,-2.7839417,-0.7175621,-0.35041708,-3.061826,-0.8268955,-3.130375,-3.7956328,-7.7819266,0.6021547,-1.8952866,-0.16799797,-2.2016175,1.7687142,0.10860491,-0.6479535,-3.1616712,-2.020714,-2.67056,-0.91533834,5.1574054,2.2957394,-0.67459494,-3.0575905,0.481505,0.50970316,0.4242244,0.37034985,0.34940407,0.34693152,0.36141953,0.4050024,0.46339643,0.51854336,0.52203673,0.5008826,0.47629437,0.42138237,0.38522086,0.37425885,0.3806984,0.40079814,0.4168427,0.41582304,0.4118136,0.41119286,0.40613115,0.3995047,0.39663577,0.39056396,0.39065945,0.40256804,0.44888672,0.48022574,0.45638818,0.45367977,0.42982337,0.40870973,0.41136372,0.42665035,0.47593716,0.553021,0.6460368,0.6063885,0.5138187,0.47367787,0.45841712,0.41864946,0.38439882,0.3401263,0.31616122,0.31417534,0.3355869,0.41257924,4.127709,3551.330006729316
10,annulment.mp3,Alternative Rock,Depressed,pop rock type beat,120,C,major,-144.0615,123.26077,-2.0977225,55.47907,-5.411971,31.875153,-0.007537612,21.82907,-0.7627609,10.387986,-1.8359216,5.911487,4.6737194,7.190703,5.9207377,0.9134841,4.8697977,0.50209975,8.480936,-0.46757773,4.651962,-0.17510647,4.4924536,-1.1362493,1.2818114,-1.6525506,-0.16324992,-1.421362,-1.5374864,-1.7984169,-3.4323483,-0.8984895,-2.432484,2.078618,-1.6489992,-0.6848208,-2.0360289,2.177419,-1.3883646,-0.5863809,-1.3098412,-0.2562305,-0.033768624,-1.9268363,-1.180074,-1.1371715,-0.55205417,0.050356377,2.2932177,0.23678325,0.6931773,0.67200875,0.64224476,0.61644775,0.5943505,0.5814861,0.5718187,0.5687843,0.56973004,0.56562805,0.55991775,0.5639203,0.5754031,0.5932687,0.6148515,0.644156,0.673199,0.6947221,0.69769657,0.6924999,0.6878558,0.67775637,0.6587986,0.6408768,0.62709224,0.6195768,0.6159592,0.6166015,0.62117016,0.6235647,0.61618346,0.6028242,0.5918984,0.5872174,0.5841974,0.5861711,0.59151125,0.59975153,0.593709,0.5766756,0.5666092,0.56250066,0.56281585,0.56683713,0.57802296,0.600268,0.6335129,0.6525029,0.66125846,0.6803563,10.2744465,2888.241828437493
